file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '5', '9']FLIR10219.jpg, 2022:09:23 10:51:04, *260
, ['2', '6', '0']FLIR10220.jpg, 2022:09:23 10:51:18, *260
, ['2', '6', '0']FLIR10221.jpg, 2022:09:23 10:51:33, *261
, ['2', '6', '1']FLIR10222.jpg, 2022:09:23 10:51:49, *262
, ['2', '6', '2']FLIR10223.jpg, 2022:09:23 10:52:04, *263
, ['2', '6', '3']FLIR10224.jpg, 2022:09:23 10:52:18, *263
, ['2', '6', '3']FLIR10225.jpg, 2022:09:23 10:52:34, *265
, ['2', '6', '5']FLIR10226.jpg, 2022:09:23 10:52:50, *265
, ['2', '6', '5']FLIR10227.jpg, 2022:09:23 10:53:04, *266
, ['2', '6', '6']FLIR10228.jpg, 2022:09:23 10:53:18, *266
, ['2', '6', '6']FLIR10229.jpg, 2022:09:23 10:53:34, *263
, ['2', '6', '3']FLIR10230.jpg, 2022:09:23 10:53:48, *259
, ['2', '5', '9']FLIR10231.jpg, 2022:09:23 10:54:04, *257
, ['2', '5', '7']FLIR10232.jpg, 2022:09:23 10:54:18, *256
, ['2', '5', '6']FLIR10233.jpg, 2022:09:23 10:54:34, *255
, ['2', '5', '5']FLIR10234.jpg, 2022:09:23 10:54:48, *254
, ['2', '5', '4']FLIR10235.jpg, 2022:09:23 10:55:10, *254
, ['2', '5', '4']FLIR10236.jpg, 2022:09:23 10:55:18, *252
, ['2', '5', '2']FLIR10237.jpg, 2022:09:23 10:55:34, *251
, ['2', '5', '1']FLIR10238.jpg, 2022:09:23 10:55:49, *249
, ['2', '4', '9']FLIR10239.jpg, 2022:09:23 10:56:04, 248 +
, ['2', '4', '8']FLIR10240.jpg, 2022:09:23 10:56:18, 247
, ['2', '4', '7']FLIR10241.jpg, 2022:09:23 10:56:34, 245
, ['2', '4', '5']FLIR10242.jpg, 2022:09:23 10:56:50, 243 F
, ['2', '4', '3']FLIR10243.jpg, 2022:09:23 10:57:04, 242 *
, ['2', '4', '2']FLIR10244.jpg, 2022:09:23 10:57:18, 241 F
, ['2', '4', '1']FLIR10245.jpg, 2022:09:23 10:57:35, 240 +
, ['2', '4', '0']FLIR10246.jpg, 2022:09:23 10:57:49, 238
, ['2', '3', '8']FLIR10247.jpg, 2022:09:23 10:58:03, 237
, ['2', '3', '7']FLIR10248.jpg, 2022:09:23 10:58:19, 236
, ['2', '3', '6']FLIR10249.jpg, 2022:09:23 10:58:35, 236
, ['2', '3', '6']FLIR10250.jpg, 2022:09:23 10:58:49, 234
, ['2', '3', '4']FLIR10251.jpg, 2022:09:23 10:59:03, 233
, ['2', '3', '3']FLIR10252.jpg, 2022:09:23 10:59:19, 231 7
, ['2', '3', '1', '7']FLIR10253.jpg, 2022:09:23 10:59:33, 231 7
, ['2', '3', '1', '7']FLIR10254.jpg, 2022:09:23 10:59:49, 232 *
, ['2', '3', '2']FLIR10255.jpg, 2022:09:23 11:00:10, 231 7
, ['2', '3', '1', '7']FLIR10256.jpg, 2022:09:23 11:00:19, 231 7
, ['2', '3', '1', '7']FLIR10257.jpg, 2022:09:23 11:00:33, 231 7
, ['2', '3', '1', '7']FLIR10258.jpg, 2022:09:23 11:00:49, 231 7
, ['2', '3', '1', '7']FLIR10259.jpg, 2022:09:23 11:01:03, 230 *
, ['2', '3', '0']FLIR10260.jpg, 2022:09:23 11:01:19, 230 *
, ['2', '3', '0']FLIR10261.jpg, 2022:09:23 11:01:33, 231 7
, ['2', '3', '1', '7']FLIR10262.jpg, 2022:09:23 11:01:49, 231 7
, ['2', '3', '1', '7']FLIR10263.jpg, 2022:09:23 11:02:04, 231 7
, ['2', '3', '1', '7']FLIR10264.jpg, 2022:09:23 11:02:19, 232 *
, ['2', '3', '2']FLIR10265.jpg, 2022:09:23 11:02:33, 232 *
, ['2', '3', '2']FLIR10266.jpg, 2022:09:23 11:02:49, 233
, ['2', '3', '3']FLIR10267.jpg, 2022:09:23 11:03:04, 233
, ['2', '3', '3']FLIR10268.jpg, 2022:09:23 11:03:19, 234
, ['2', '3', '4']FLIR10269.jpg, 2022:09:23 11:03:33, 234
, ['2', '3', '4']FLIR10270.jpg, 2022:09:23 11:03:49, 235 +
, ['2', '3', '5']FLIR10271.jpg, 2022:09:23 11:04:04, 235 +
, ['2', '3', '5']FLIR10272.jpg, 2022:09:23 11:04:19, 235 +
, ['2', '3', '5']FLIR10273.jpg, 2022:09:23 11:04:34, 236
, ['2', '3', '6']FLIR10274.jpg, 2022:09:23 11:04:49, 235 +
, ['2', '3', '5']FLIR10275.jpg, 2022:09:23 11:05:10, 235 +
, ['2', '3', '5']FLIR10276.jpg, 2022:09:23 11:05:18, 235 +
, ['2', '3', '5']FLIR10277.jpg, 2022:09:23 11:05:34, 235 +
, ['2', '3', '5']FLIR10278.jpg, 2022:09:23 11:05:48, 236
, ['2', '3', '6']FLIR10279.jpg, 2022:09:23 11:06:04, 235 +
, ['2', '3', '5']FLIR10280.jpg, 2022:09:23 11:06:19, 234
, ['2', '3', '4']FLIR10281.jpg, 2022:09:23 11:06:34, 235 +
, ['2', '3', '5']FLIR10282.jpg, 2022:09:23 11:06:48, 236
, ['2', '3', '6']FLIR10283.jpg, 2022:09:23 11:07:04, 238
, ['2', '3', '8']FLIR10284.jpg, 2022:09:23 11:07:18, 238
, ['2', '3', '8']FLIR10285.jpg, 2022:09:23 11:07:34, 238
, ['2', '3', '8']FLIR10286.jpg, 2022:09:23 11:07:48, 239
, ['2', '3', '9']FLIR10287.jpg, 2022:09:23 11:08:04, 240 +
, ['2', '4', '0']FLIR10288.jpg, 2022:09:23 11:08:19, 241 F
, ['2', '4', '1']FLIR10289.jpg, 2022:09:23 11:08:33, 241 F
, ['2', '4', '1']FLIR10290.jpg, 2022:09:23 11:08:49, 241 F
, ['2', '4', '1']FLIR10291.jpg, 2022:09:23 11:09:03, 242 *
, ['2', '4', '2']FLIR10292.jpg, 2022:09:23 11:09:19, 242 *
, ['2', '4', '2']FLIR10293.jpg, 2022:09:23 11:09:33, 245
, ['2', '4', '5']FLIR10294.jpg, 2022:09:23 11:09:49, 245
, ['2', '4', '5']FLIR10295.jpg, 2022:09:23 11:10:10, 245
, ['2', '4', '5']FLIR10296.jpg, 2022:09:23 11:10:19, 245
, ['2', '4', '5']FLIR10297.jpg, 2022:09:23 11:10:34, 245
, ['2', '4', '5']FLIR10298.jpg, 2022:09:23 11:10:49, 244%
, ['2', '4', '4']FLIR10299.jpg, 2022:09:23 11:11:04, 243 F
, ['2', '4', '3']FLIR10300.jpg, 2022:09:23 11:11:19, 243 F
, ['2', '4', '3']FLIR10301.jpg, 2022:09:23 11:11:34, 243 F
, ['2', '4', '3']FLIR10302.jpg, 2022:09:23 11:11:49, 243 F
, ['2', '4', '3']FLIR10303.jpg, 2022:09:23 11:12:04, 242 *
, ['2', '4', '2']FLIR10304.jpg, 2022:09:23 11:12:18, 242 *
, ['2', '4', '2']FLIR10305.jpg, 2022:09:23 11:12:34, 242 *
, ['2', '4', '2']FLIR10306.jpg, 2022:09:23 11:12:48, 244%
, ['2', '4', '4']FLIR10307.jpg, 2022:09:23 11:13:04, 244%
, ['2', '4', '4']FLIR10308.jpg, 2022:09:23 11:13:18, 244%
